tick	outerResourceControl	captureUsedProducerLowerBound	oldGateLowerBound	logisticsCpuUsedV1	logisticsBytes	dataBytesAttested	dataBytesObserved	snapshotByteMismatch	bucket	available	complete	projectionTruncated	effectiveAuthorityLegacy	comparisons	matched	different	unresolved	reasonEqual	reasonExpectedPolicyDifference	reasonUnsafeCandidate	matcherIndexBuilds	matcherBudgetExhausted	nonLegacyAuthority	activeContracts	activeLeases	activeClaims	shadowObservableRecords	violations
73088570	3.3037667000025976	1.825	5.128766700002598	2.821	3691	1633	1633	0	10000	1	1	0	1	2	1	1	0	1	0	1	1	0	0	0	0	0	0	0
73088580	2.7848924999852898	1.457	4.24189249998529	2.36	3690	1633	1633	0	10000	1	1	0	1	2	1	1	0	1	0	1	1	0	0	0	0	0	0	0
73088590	2.4445355999923777	1.293	3.737535599992378	2.168	3692	1634	1634	0	10000	1	1	0	1	2	1	1	0	1	0	1	1	0	0	0	0	0	0	0
73088600	3.0431712999852607	1.243	4.286171299985261	2.367	5000	2397	2397	0	10000	1	1	0	1	4	2	2	0	2	1	1	1	0	0	0	0	0	0	0
73088610	2.767051300004823	11.195	13.962051300004823	12.344	5003	2398	2398	0	10000	1	1	0	1	4	2	2	0	2	1	1	1	0	0	0	0	0	0	0
73088620	2.9171440999925835	1.496	4.413144099992584	2.749	5000	2397	2397	0	10000	1	1	0	1	4	2	2	0	2	1	1	1	0	0	0	0	0	0	0
73088630	3.0286724000034155	1.532	4.560672400003416	2.767	5001	2398	2398	0	10000	1	1	0	1	4	2	2	0	2	1	1	1	0	0	0	0	0	0	0
73088640	2.592093399987789	1.446	4.038093399987789	2.357	3701	1643	1644	1	10000	1	1	0	1	2	1	1	0	1	0	1	1	0	0	0	0	0	0	0
73088650	3.314217399980407	1.434	4.748217399980407	2.62	3701	1644	1644	0	10000	1	1	0	1	2	1	1	0	1	0	1	1	0	0	0	0	0	0	0
73088660	3.0294601999921724	1.621	4.650460199992173	2.754	3702	1644	1644	0	10000	1	1	0	1	2	1	1	0	1	0	1	1	0	0	0	0	0	0	0
73088670	2.6510821999982	1.546	4.1970821999982	2.499	3700	1642	1644	1	10000	1	1	0	1	2	1	1	0	1	0	1	1	0	0	0	0	0	0	0
73088680	2.386016099990229	1.287	3.673016099990229	2.14	3701	1644	1644	0	10000	1	1	0	1	2	1	1	0	1	0	1	1	0	0	0	0	0	0	0
73088690	2.7067131000076188	1.77	4.476713100007618	2.724	3699	1642	1642	0	10000	1	1	0	1	2	1	1	0	1	0	1	1	0	0	0	0	0	0	0
73088700	2.5570479999878444	1.197	3.7540479999878444	2.127	3702	1644	1644	0	10000	1	1	0	1	2	1	1	0	1	0	1	1	0	0	0	0	0	0	0
73088710	2.4829519000195432	1.478	3.960951900019543	2.341	3702	1644	1644	0	10000	1	1	0	1	2	1	1	0	1	0	1	1	0	0	0	0	0	0	0
